keepLevel;stone;common;metalType;uncommon;count
1;290
2;1500
3;2300
4;3600
5;5500
6;8500
7;12000
8;17000
9;23900
10;33800
11;37200
12;46500
13;55800;25;bronze;1
14;72500;54;bronze;4
15;116000;75;bronze;5
16;185600;100;bronze;7
17;324800;140;bronze;10
18;568500;200;bronze;14
19;994800;290;bronze;20
20;1790700;400;bronze;27
21;1880200;330;iron;22
22;2162300;480;iron;33
23;2811000;630;iron;42
24;3654300;820;iron;55
25;4933200;1070;iron;72
26;8139900;1390;iron;94
27;11395800;1810;iron;120
28;15954100;2340;iron;160
29;22335800;3050;iron;210
30;31270100;3960;iron;270
31;32833600;3970;steel;270
32;36116900;4770;steel;320
33;41534500;5720;steel;390
34;49841400;6860;steel;460
35;64793800;8240;steel;560
36;84231900;9890;steel;670
37;109501500;11870;steel;800
38;143447000;14240;steel;960
39;187915600;17090;steel;1150
40;246169400;20510;steel;1380
