keepLevel;stone;metalType;common;uncommon;count
1;160;;;;2
2;870;;;;2
3;1300;;;;2
4;2000;;;;2
5;3200;;;;2
6;4900;;;;4
7;6900;;;;4
8;9700;;;;4
9;13700;;;;4
10;19300;;;;4
11;21200;;;;6
12;26600;;;;6
13;31900;bronze;4;;6
14;41400;bronze;9;1;6
15;66300;bronze;12;1;6
16;106100;bronze;17;1;6
17;185600;bronze;24;2;6
18;324800;bronze;34;2;6
19;568500;bronze;48;3;6
20;1023300;bronze;67;5;6
21;1074400;iron;55;4;6
22;1235600;iron;81;5;6
23;1606300;iron;100;7;6
24;2088100;iron;140;9;6
25;2819000;iron;180;12;6
26;4651300;iron;230;16;6
27;6511900;iron;300;20;6
28;9116600;iron;390;26;6
29;12763300;iron;510;34;6
30;17868600;iron;660;44;6
31;18762000;steel;660;45;6
32;20638300;steel;790;54;6
33;23734000;steel;950;64;6
34;28480800;steel;1140;77;6
35;37025000;steel;1370;93;6
36;48132500;steel;1650;110;6
37;62572300;steel;1980;130;6
38;81969700;steel;2370;160;6
39;107380300;steel;2850;190;6
40;140668200;steel;3420;230;6
