keepLevel;stone;metalType;common;uncommon;count
1;140
2;720
3;1100
4;1700
5;2600
6;4000
7;5700
8;8100
9;11400
10;16100
11;17700
12;22100
13;26500;bronze;12;1
14;34500;bronze;26;2
15;55200;bronze;36;2
16;88300;bronze;49;3
17;154500;bronze;69;5
18;270400;bronze;97;7
19;473300;bronze;140;9
20;851900;bronze;190;13
21;894500;iron;160;11
22;1028600;iron;230;16
23;1337200;iron;300;20
24;1738400;iron;390;26
25;2346800;iron;510;34
26;3872200;iron;660;45
27;5421100;iron;860;58
28;7589600;iron;1120;75
29;10625400;iron;1460;98
30;14875600;iron;1890;130
31;15619400;steel;1900;130
32;17181300;steel;2280;150
33;19758500;steel;2730;180
34;23710300;steel;3280;220
35;30823300;steel;3940;270
36;40070300;steel;4720;320
37;52091400;steel;5670;380
38;68239800;steel;6800;460
39;89394100;steel;8170;550
40;117106300;steel;9800;660
