keepLevel;stone;metalType;common;uncommon;count
11;53100
12;66400
13;79700;bronze;25;1
14;103600;bronze;54;4
15;165700;bronze;75;5
16;265200;bronze;100;7
17;464100;bronze;140;10
18;812100;bronze;200;14
19;1421200;bronze;290;20
20;2558200;bronze;400;27
21;2686100;iron;330;22
22;3089000;iron;480;33
23;4015700;iron;630;42
24;5220400;iron;820;55
25;7047500;iron;1070;72
26;11628400;iron;1390;94
27;16279700;iron;1810;120
28;22791600;iron;2340;160
29;31908200;iron;3050;210
30;44671500;iron;3960;270
31;46905100;steel;3970;270
32;51595600;steel;4770;320
33;59335000;steel;5720;390
34;71202000;steel;6860;460
35;92562600;steel;8240;560
36;120331300;steel;9890;670
37;156430700;steel;11870;800
38;204924300;steel;14240;960
39;268450800;steel;17090;1150
40;351670500;steel;20510;1380
