keepLevel;stone;metalType;common;uncommon;count
1;21
2;110
3;170
4;260
5;390
6;610
7;860
8;1200
9;1700
10;2400
11;2700
12;3300
13;4000;bronze;12;1
14;5200;bronze;26;2
15;8300;bronze;36;2
16;13300;bronze;49;3
17;23200;bronze;69;5
18;40600;bronze;97;7
19;71100;bronze;140;9
20;127900;bronze;190;13
21;134300;iron;160;11
22;154400;iron;230;16
23;200800;iron;300;20
24;261000;iron;390;26
25;352400;iron;510;34
26;581400;iron;660;45
27;814000;iron;860;58
28;1139600;iron;1120;75
29;1595400;iron;1460;98
30;2233600;iron;1890;130
31;2345300;steel;1900;130
32;2579800;steel;2280;150
33;2966700;steel;2730;180
34;3560100;steel;3280;220
35;4628100;steel;3940;270
36;6016600;steel;4720;320
37;7821500;steel;5670;380
38;10246200;steel;6800;460
39;13422500;steel;8170;550
40;17583500;steel;9800;660
