keepLevel;stone;common;metalType;uncommon;count
1;62;;;;4
2;330;;;;4
3;500;;;;4
4;770;;;;6
5;1200;;;;6
6;1800;;;;6
7;2600;;;;8
8;3600;;;;8
9;5100;;;;10
10;7200;;;;12
11;8000;;;;12
12;10000;;;;14
13;12000;1;bronze;;14
14;15500;2;bronze;;16
15;24900;2;bronze;;16
16;39800;3;bronze;;16
17;69600;4;bronze;;16
18;121800;6;bronze;;16
19;213200;9;bronze;1;16
20;383700;12;bronze;1;16
21;402900;10;iron;1;16
22;463300;15;iron;1;16
23;602400;19;iron;1;16
24;783100;25;iron;2;16
25;1057100;33;iron;2;16
26;1744300;43;iron;3;17
27;2442000;55;iron;4;17
28;3418700;72;iron;5;17
29;4786200;93;iron;6;18
30;6700700;120;iron;8;18
31;7035800;120;steel;8;18
32;7739300;150;steel;10;19
33;8900200;170;steel;12;19
34;10680300;210;steel;14;19
35;13884400;250;steel;17;20
36;18049700;300;steel;20;20
37;23464600;360;steel;24;20
38;30738600;440;steel;29;21
39;40267600;520;steel;35;21
40;52750600;630;steel;42;21
